variant,isa_lines,isa_total_instrs,v_f64,v_f32,v_pk_f32,scratch_ops,scratch_bytes,log_expansions
A,17802,16675,4347,1586,0,56,156,54
B,12038,11148,1380,1586,0,477,224,1
